id района,год,предмет,этап всош,результат
Великий Новгород,2024,Физика ,Регион,13
Великий Новгород,2024,Физика ,Регион,10
Великий Новгород,2024,Физика ,Регион,8
Великий Новгород,2024,Физика ,Регион,8
Великий Новгород,2024,Физика ,Регион,6
Мошенской,2024,Физика ,Регион,6
Окуловский,2024,Обществознание,Регион,100
Великий Новгород,2024,Обществознание,Регион,50
Старорусский,2024,Обществознание,Регион,66
Великий Новгород,2024,Обществознание,Регион,88
Великий Новгород,2024,Обществознание,Регион,65
Пестовский,2024,Обществознание,Регион,77
Великий Новгород,2024,Обществознание,Регион,55
Великий Новгород,2024,Обществознание,Регион,66
Великий Новгород,2024,Обществознание,Регион,28
Пестовский,2024,Обществознание,Регион,7
Валдайский,2024,Обществознание,Регион,7
Валдайский,2024,Обществознание,Регион,85
Крестецкий,2024,Обществознание,Регион,60
Шимский,2024,Обществознание,Регион,24
Батецкий,2024,Обществознание,Регион,89
Великий Новгород,2024,Обществознание,Регион,34
Маловишерский,2024,Обществознание,Регион,25
Шимский,2024,Обществознание,Регион,48
Маловишерский,2024,Обществознание,Регион,17
Шимский,2024,Обществознание,Регион,7
Мошенской,2024,Обществознание,Регион,7
,,,,
